Id,Nome,PL_p,PL_c,SL_p,SL_c,MT_p,MT_c,BI_p,BI_c,QM_p,QM_c,FC_p,FC_c,CH_p,CH_c,RE_p,RE_c,QD_p,QD_c,PMC
301,ADMINISTRAÇÃO - DIURNO,3,3,1,"0,5",3,2,1,"0,5",1,"0,5",1,"0,5",2,2,3,3,2,"0,5",194
316,ADMINISTRAÇÃO - NOTURNO,3,3,1,"0,5",3,2,1,"0,5",1,"0,5",1,"0,5",2,2,3,3,2,"0,5",194
501,AGRONOMIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
555,AGRONOMIA - DIURNO CURITIBANOS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
455,ANIMAÇÃO - DIURNO/NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
337,ANTROPOLOGIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
207,ARQUITETURA E URBANISMO - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
335,ARQUIVOLOGIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
451,ARTES CÊNICAS - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
601,BACHARELADO INTERDISCIPLINAR EM MOBILIDADE -DIURNO/NOTURNO JOINVILLE,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
324,BIBLIOTECONOMIA - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
342,CIÊNCIA DA INFORMAÇÃO - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
503,CIÊNCIA E TECNOLOGIA DE ALIMENTOS - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
108,CIÊNCIAS BIOLÓGICAS - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
110,CIÊNCIAS BIOLÓGICAS - LIC NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
302,CIÊNCIAS CONTÁBEIS - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",2,2,1,0,1,0,1,0,1,0,"1,5",3,1,"0,5",127
317,CIÊNCIAS CONTÁBEIS - NOTURNO FLORIANÓPOLIS,2,3,1,"0,5",2,2,1,0,1,0,1,0,1,0,"1,5",3,1,"0,5",127
208,CIÊNCIAS DA COMPUTAÇÃO - DIURNO FLORIANÓPOLIS,1,3,1,2,3,3,1,"1,5",1,"1,5",1,2,1,"1,5","1,5",3,3,"0,5",145
304,CIÊNCIAS ECONÔMICAS - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",2,1,1,0,1,0,1,0,2,0,"1,5",3,1,"0,5",147
318,CIÊNCIAS ECONÔMICAS - NOTURNO FLORIANÓPOLIS,2,3,1,"0,5",2,1,1,0,1,0,1,0,2,0,"1,5",3,1,"0,5",147
310,CIÊNCIAS SOCIAIS - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
320,CIÊNCIAS SOCIAIS - BEL/LIC - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
450,CINEMA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
454,DESIGN - DIURNO/NOTURNO FLORIANÓPOLIS,2,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,3,3,1,"0,5",132
452,DESIGN DE PRODUTO - DIURNO/NOTURNO FLORIANÓPOLIS,2,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,3,3,1,"0,5",132
303,DIREITO - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",1,*,1,*,1,**,1,**,2,2,2,3,1,"0,5",142
5,DIREITO - NOTURNO FLORIANÓPOLIS,2,3,1,"0,5",1,*,1,*,1,**,1,**,2,2,2,3,1,"0,5",142
444,EDUCAÇÃO FÍSICA - BEL - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
404,EDUCAÇÃO FÍSICA - LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
101,ENFERMAGEM - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
602,ENGENHARIA AEROESPACIAL - DIURNO/NOTURNO JOINVILLE,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
603,ENGENHARIA AUTOMOTIVA - DIURNO/NOTURNO JOINVILLE,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
201,ENGENHARIA CIVIL - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
